date,request,memory,cpu
4/1/2019 0:00,52039,13.24%,2.60%
4/1/2019 0:05,50301,13.23%,2.52%
4/1/2019 0:10,56726,13.26%,2.84%
4/1/2019 0:15,50690,13.24%,2.53%
4/1/2019 0:20,57662,13.27%,2.88%
4/1/2019 0:25,51301,13.24%,2.57%
4/1/2019 0:30,46671,13.22%,2.33%
4/1/2019 0:35,55164,13.26%,2.76%
4/1/2019 0:40,55043,13.26%,2.75%
4/1/2019 0:45,50094,13.23%,2.50%
4/1/2019 0:50,51444,13.24%,2.57%
4/1/2019 0:55,51956,13.24%,2.60%
4/1/2019 1:00,47281,13.22%,2.36%
4/1/2019 1:05,44737,13.21%,2.24%
4/1/2019 1:10,55148,13.26%,2.76%
4/1/2019 1:15,48693,13.23%,2.43%
4/1/2019 1:20,56865,13.27%,2.84%
4/1/2019 1:25,50523,13.24%,2.53%
4/1/2019 1:30,41336,13.19%,2.07%
4/1/2019 1:35,41895,13.20%,2.09%
4/1/2019 1:40,57875,13.27%,2.89%
4/1/2019 1:45,37129,13.17%,1.86%
4/1/2019 1:50,43832,13.20%,2.19%
4/1/2019 1:55,49931,13.23%,2.50%
4/1/2019 2:00,46002,13.21%,2.30%
4/1/2019 2:05,53609,13.25%,2.68%
4/1/2019 2:10,36246,13.17%,1.81%
4/1/2019 2:15,45187,13.21%,2.26%
4/1/2019 2:20,46463,13.22%,2.32%
4/1/2019 2:25,43513,13.20%,2.18%
4/1/2019 2:30,40971,13.19%,2.05%
4/1/2019 2:35,46232,13.22%,2.31%
4/1/2019 2:40,50130,13.23%,2.51%
4/1/2019 2:45,48515,13.23%,2.43%
4/1/2019 2:50,42780,13.20%,2.14%
4/1/2019 2:55,48296,13.23%,2.41%
4/1/2019 3:00,41545,13.19%,2.08%
4/1/2019 3:05,43826,13.20%,2.19%
4/1/2019 3:10,39653,13.19%,1.98%
4/1/2019 3:15,45518,13.21%,2.28%
4/1/2019 3:20,46250,13.22%,2.31%
4/1/2019 3:25,38237,13.18%,1.91%
4/1/2019 3:30,54952,13.26%,2.75%
4/1/2019 3:35,56530,13.26%,2.83%
4/1/2019 3:40,43720,13.20%,2.19%
4/1/2019 3:45,40615,13.19%,2.03%
4/1/2019 3:50,47602,13.22%,2.38%
4/1/2019 3:55,44519,13.21%,2.23%
4/1/2019 4:00,39558,13.18%,1.98%
4/1/2019 4:05,42570,13.20%,2.13%
4/1/2019 4:10,49127,13.23%,2.46%
4/1/2019 4:15,39029,13.18%,1.95%
4/1/2019 4:20,42625,13.20%,2.13%
4/1/2019 4:25,51858,13.24%,2.59%
4/1/2019 4:30,38366,13.18%,1.92%
4/1/2019 4:35,39137,13.18%,1.96%
4/1/2019 4:40,46633,13.22%,2.33%
4/1/2019 4:45,50145,13.23%,2.51%
4/1/2019 4:50,48503,13.23%,2.43%
4/1/2019 4:55,52003,13.24%,2.60%
4/1/2019 5:00,44807,13.21%,2.24%
4/1/2019 5:05,39104,13.18%,1.96%
4/1/2019 5:10,51663,13.24%,2.58%
4/1/2019 5:15,36757,13.17%,1.84%
4/1/2019 5:20,40562,13.19%,2.03%
4/1/2019 5:25,46396,13.22%,2.32%
4/1/2019 5:30,37006,13.17%,1.85%
4/1/2019 5:35,48993,13.23%,2.45%
4/1/2019 5:40,40075,13.19%,2.00%
4/1/2019 5:45,41192,13.19%,2.06%
4/1/2019 5:50,39653,13.19%,1.98%
4/1/2019 5:55,34737,13.16%,1.74%
4/1/2019 6:00,46158,13.22%,2.31%
4/1/2019 6:05,49850,13.23%,2.49%
4/1/2019 6:10,52140,13.24%,2.61%
4/1/2019 6:15,50706,13.24%,2.54%
4/1/2019 6:20,38656,13.18%,1.93%
4/1/2019 6:25,46813,13.22%,2.34%
4/1/2019 6:30,54585,13.25%,2.73%
4/1/2019 6:35,49832,13.23%,2.49%
4/1/2019 6:40,43890,13.20%,2.19%
4/1/2019 6:45,44208,13.21%,2.21%
4/1/2019 6:50,56037,13.26%,2.80%
4/1/2019 6:55,69693,13.33%,3.48%
4/1/2019 7:00,67605,13.32%,3.38%
4/1/2019 7:05,54479,13.25%,2.72%
4/1/2019 7:10,66858,13.31%,3.34%
4/1/2019 7:15,68424,13.32%,3.42%
4/1/2019 7:20,72592,13.34%,3.63%
4/1/2019 7:25,71639,13.33%,3.58%
4/1/2019 7:30,77557,13.36%,3.88%
4/1/2019 7:35,77167,13.36%,3.86%
4/1/2019 7:40,97829,13.46%,4.89%
4/1/2019 7:45,137786,13.64%,6.89%
4/1/2019 7:50,205299,13.96%,10.26%
4/1/2019 7:55,372769,14.74%,18.64%
4/1/2019 8:00,400907,14.87%,20.05%
4/1/2019 8:05,419372,14.96%,20.97%
4/1/2019 8:10,476159,15.22%,23.81%
4/1/2019 8:15,525325,15.45%,26.27%
4/1/2019 8:20,619806,15.89%,30.99%
4/1/2019 8:25,802382,16.74%,40.12%
4/1/2019 8:30,849304,16.96%,42.47%
4/1/2019 8:35,955693,17.46%,47.78%
4/1/2019 8:40,1033098,17.82%,51.65%
4/1/2019 8:45,1090577,18.09%,54.53%
4/1/2019 8:50,1161042,18.42%,58.05%
4/1/2019 8:55,1222231,18.70%,61.11%
4/1/2019 9:00,1237500,18.78%,61.88%
4/1/2019 9:05,1314489,19.13%,65.72%
4/1/2019 9:10,1309475,19.11%,65.47%
4/1/2019 9:15,1395302,19.51%,69.77%
4/1/2019 9:20,1368335,19.39%,68.42%
4/1/2019 9:25,1377464,19.43%,68.87%
4/1/2019 9:30,1401938,19.54%,70.10%
4/1/2019 9:35,1421031,19.63%,71.05%
4/1/2019 9:40,1440627,19.72%,72.03%
4/1/2019 9:45,1349141,19.30%,67.46%
4/1/2019 9:50,1615158,20.54%,80.76%
4/1/2019 9:55,1595199,20.44%,79.76%
4/1/2019 10:00,1597789,20.46%,79.89%
4/1/2019 10:05,1547692,20.22%,77.38%
4/1/2019 10:10,1580628,20.38%,79.03%
4/1/2019 10:15,1555765,20.26%,77.79%
4/1/2019 10:20,1562943,20.29%,78.15%
4/1/2019 10:25,1548331,20.23%,77.42%
4/1/2019 10:30,1546931,20.22%,77.35%
4/1/2019 10:35,1515304,20.07%,75.77%
4/1/2019 10:40,1539781,20.19%,76.99%
4/1/2019 10:45,1508020,20.04%,75.40%
4/1/2019 10:50,1549143,20.23%,77.46%
4/1/2019 10:55,1521582,20.10%,76.08%
4/1/2019 11:00,1508165,20.04%,75.41%
4/1/2019 11:05,1508946,20.04%,75.45%
4/1/2019 11:10,1500805,20.00%,75.04%
4/1/2019 11:15,1556241,20.26%,77.81%
4/1/2019 11:20,1486465,19.94%,74.32%
4/1/2019 11:25,1476565,19.89%,73.83%
4/1/2019 11:30,1404959,19.56%,70.25%
4/1/2019 11:35,1408642,19.57%,70.43%
4/1/2019 11:40,1390298,19.49%,69.51%
4/1/2019 11:45,1371104,19.40%,68.56%
4/1/2019 11:50,1341682,19.26%,67.08%
4/1/2019 11:55,1271349,18.93%,63.57%
4/1/2019 12:00,1198268,18.59%,59.91%
4/1/2019 12:05,1161193,18.42%,58.06%
4/1/2019 12:10,1139591,18.32%,56.98%
4/1/2019 12:15,1154781,18.39%,57.74%
4/1/2019 12:20,1089100,18.08%,54.46%
4/1/2019 12:25,1046169,17.88%,52.31%
4/1/2019 12:30,963381,17.50%,48.17%
4/1/2019 12:35,963207,17.49%,48.16%
4/1/2019 12:40,929514,17.34%,46.48%
4/1/2019 12:45,933593,17.36%,46.68%
4/1/2019 12:50,916451,17.28%,45.82%
4/1/2019 12:55,916790,17.28%,45.84%
4/1/2019 13:00,899109,17.20%,44.96%
4/1/2019 13:05,898765,17.19%,44.94%
4/1/2019 13:10,892266,17.16%,44.61%
4/1/2019 13:15,857083,17.00%,42.85%
4/1/2019 13:20,857463,17.00%,42.87%
4/1/2019 13:25,903671,17.22%,45.18%
4/1/2019 13:30,904180,17.22%,45.21%
4/1/2019 13:35,937332,17.37%,46.87%
4/1/2019 13:40,942034,17.40%,47.10%
4/1/2019 13:45,952779,17.45%,47.64%
4/1/2019 13:50,996862,17.65%,49.84%
4/1/2019 13:55,1140092,18.32%,57.00%
4/1/2019 14:00,1193055,18.57%,59.65%
4/1/2019 14:05,1239413,18.78%,61.97%
4/1/2019 14:10,1259902,18.88%,63.00%
4/1/2019 14:15,1298122,19.06%,64.91%
4/1/2019 14:20,1350490,19.30%,67.52%
4/1/2019 14:25,1393246,19.50%,69.66%
4/1/2019 14:30,1436675,19.70%,71.83%
4/1/2019 14:35,1440555,19.72%,72.03%
4/1/2019 14:40,1448595,19.76%,72.43%
4/1/2019 14:45,1476072,19.89%,73.80%
4/1/2019 14:50,1465693,19.84%,73.28%
4/1/2019 14:55,1503966,20.02%,75.20%
4/1/2019 15:00,1492432,19.96%,74.62%
4/1/2019 15:05,1507428,20.03%,75.37%
4/1/2019 15:10,1468661,19.85%,73.43%
4/1/2019 15:15,1471609,19.87%,73.58%
4/1/2019 15:20,1463472,19.83%,73.17%
4/1/2019 15:25,1517905,20.08%,75.90%
4/1/2019 15:30,1481417,19.91%,74.07%
4/1/2019 15:35,1477830,19.90%,73.89%
4/1/2019 15:40,1484238,19.93%,74.21%
4/1/2019 15:45,1463259,19.83%,73.16%
4/1/2019 15:50,1485378,19.93%,74.27%
4/1/2019 15:55,1475034,19.88%,73.75%
4/1/2019 16:00,1458060,19.80%,72.90%
4/1/2019 16:05,1460755,19.82%,73.04%
4/1/2019 16:10,1467312,19.85%,73.37%
4/1/2019 16:15,1447378,19.75%,72.37%
4/1/2019 16:20,1461384,19.82%,73.07%
4/1/2019 16:25,1468586,19.85%,73.43%
4/1/2019 16:30,1463717,19.83%,73.19%
4/1/2019 16:35,1436811,19.71%,71.84%
4/1/2019 16:40,1443206,19.73%,72.16%
4/1/2019 16:45,1422973,19.64%,71.15%
4/1/2019 16:50,1454001,19.79%,72.70%
4/1/2019 16:55,1425574,19.65%,71.28%
4/1/2019 17:00,1369852,19.39%,68.49%
4/1/2019 17:05,1389799,19.49%,69.49%
4/1/2019 17:10,1385565,19.47%,69.28%
4/1/2019 17:15,1401709,19.54%,70.09%
4/1/2019 17:20,1366613,19.38%,68.33%
4/1/2019 17:25,1334579,19.23%,66.73%
4/1/2019 17:30,1252346,18.84%,62.62%
4/1/2019 17:35,1215748,18.67%,60.79%
4/1/2019 17:40,1185871,18.53%,59.29%
4/1/2019 17:45,1199739,18.60%,59.99%
4/1/2019 17:50,1184168,18.53%,59.21%
4/1/2019 17:55,1123302,18.24%,56.17%
4/1/2019 18:00,1040248,17.85%,52.01%
4/1/2019 18:05,992950,17.63%,49.65%
4/1/2019 18:10,963014,17.49%,48.15%
4/1/2019 18:15,931212,17.35%,46.56%
4/1/2019 18:20,903427,17.22%,45.17%
4/1/2019 18:25,877342,17.09%,43.87%
4/1/2019 18:30,816876,16.81%,40.84%
4/1/2019 18:35,806524,16.76%,40.33%
4/1/2019 18:40,804632,16.75%,40.23%
4/1/2019 18:45,781290,16.65%,39.06%
4/1/2019 18:50,788248,16.68%,39.41%
4/1/2019 18:55,774061,16.61%,38.70%
4/1/2019 19:00,775432,16.62%,38.77%
4/1/2019 19:05,757516,16.54%,37.88%
4/1/2019 19:10,736087,16.44%,36.80%
4/1/2019 19:15,710786,16.32%,35.54%
4/1/2019 19:20,706899,16.30%,35.34%
4/1/2019 19:25,710825,16.32%,35.54%
4/1/2019 19:30,668323,16.12%,33.42%
4/1/2019 19:35,673703,16.14%,33.69%
4/1/2019 19:40,659913,16.08%,33.00%
4/1/2019 19:45,631504,15.95%,31.58%
4/1/2019 19:50,624995,15.92%,31.25%
4/1/2019 19:55,613501,15.86%,30.68%
4/1/2019 20:00,585408,15.73%,29.27%
4/1/2019 20:05,596994,15.79%,29.85%
4/1/2019 20:10,593547,15.77%,29.68%
4/1/2019 20:15,563836,15.63%,28.19%
4/1/2019 20:20,579510,15.70%,28.98%
4/1/2019 20:25,570850,15.66%,28.54%
4/1/2019 20:30,538377,15.51%,26.92%
4/1/2019 20:35,530520,15.48%,26.53%
4/1/2019 20:40,518387,15.42%,25.92%
4/1/2019 20:45,510619,15.38%,25.53%
4/1/2019 20:50,477609,15.23%,23.88%
4/1/2019 20:55,457283,15.13%,22.86%
4/1/2019 21:00,444237,15.07%,22.21%
4/1/2019 21:05,427838,15.00%,21.39%
4/1/2019 21:10,427963,15.00%,21.40%
4/1/2019 21:15,406121,14.90%,20.31%
4/1/2019 21:20,413233,14.93%,20.66%
4/1/2019 21:25,370625,14.73%,18.53%
4/1/2019 21:30,353450,14.65%,17.67%
4/1/2019 21:35,336627,14.57%,16.83%
4/1/2019 21:40,318519,14.49%,15.93%
4/1/2019 21:45,320704,14.50%,16.04%
4/1/2019 21:50,277555,14.30%,13.88%
4/1/2019 21:55,187395,13.87%,9.37%
4/1/2019 22:00,126936,13.59%,6.35%
4/1/2019 22:05,120363,13.56%,6.02%
4/1/2019 22:10,92084,13.43%,4.60%
4/1/2019 22:15,80588,13.38%,4.03%
4/1/2019 22:20,69593,13.32%,3.48%
4/1/2019 22:25,76209,13.36%,3.81%
4/1/2019 22:30,77303,13.36%,3.87%
4/1/2019 22:35,66783,13.31%,3.34%
4/1/2019 22:40,70329,13.33%,3.52%
4/1/2019 22:45,77098,13.36%,3.85%
4/1/2019 22:50,60034,13.28%,3.00%
4/1/2019 22:55,62107,13.29%,3.11%
4/1/2019 23:00,49037,13.23%,2.45%
4/1/2019 23:05,57861,13.27%,2.89%
4/1/2019 23:10,48854,13.23%,2.44%
4/1/2019 23:15,54702,13.26%,2.74%
4/1/2019 23:20,49187,13.23%,2.46%
4/1/2019 23:25,48255,13.23%,2.41%
4/1/2019 23:30,40395,13.19%,2.02%
4/1/2019 23:35,60414,13.28%,3.02%
4/1/2019 23:40,45049,13.21%,2.25%
4/1/2019 23:45,41859,13.20%,2.09%
4/1/2019 23:50,36011,13.17%,1.80%
4/1/2019 23:55,52641,13.25%,2.63%
4/2/2019 0:00,44606,13.21%,2.23%
4/2/2019 0:05,33684,13.16%,1.68%
4/2/2019 0:10,34679,13.16%,1.73%
4/2/2019 0:15,26643,13.12%,1.33%
4/2/2019 0:20,25196,13.12%,1.26%
4/2/2019 0:25,37133,13.17%,1.86%
4/2/2019 0:30,27742,13.13%,1.39%
4/2/2019 0:35,33389,13.16%,1.67%
4/2/2019 0:40,37356,13.17%,1.87%
4/2/2019 0:45,35392,13.17%,1.77%
4/2/2019 0:50,33197,13.15%,1.66%
4/2/2019 0:55,39085,13.18%,1.95%
4/2/2019 1:00,36177,13.17%,1.81%
4/2/2019 1:05,30812,13.14%,1.54%
4/2/2019 1:10,34769,13.16%,1.74%
4/2/2019 1:15,28500,13.13%,1.43%
4/2/2019 1:20,20375,13.10%,1.02%
4/2/2019 1:25,33152,13.15%,1.66%
4/2/2019 1:30,21006,13.10%,1.05%
4/2/2019 1:35,31677,13.15%,1.58%
4/2/2019 1:40,21112,13.10%,1.06%
4/2/2019 1:45,28960,13.14%,1.45%
4/2/2019 1:50,30635,13.14%,1.53%
4/2/2019 1:55,23484,13.11%,1.17%
4/2/2019 2:00,28529,13.13%,1.43%
4/2/2019 2:05,32596,13.15%,1.63%
4/2/2019 2:10,30404,13.14%,1.52%
4/2/2019 2:15,18228,13.09%,0.91%
4/2/2019 2:20,24051,13.11%,1.20%
4/2/2019 2:25,34563,13.16%,1.73%
4/2/2019 2:30,24425,13.11%,1.22%
4/2/2019 2:35,27919,13.13%,1.40%
4/2/2019 2:40,29883,13.14%,1.49%
4/2/2019 2:45,19323,13.09%,0.97%
4/2/2019 2:50,21598,13.10%,1.08%
4/2/2019 2:55,30103,13.14%,1.51%
4/2/2019 3:00,33515,13.16%,1.68%
4/2/2019 3:05,34405,13.16%,1.72%
4/2/2019 3:10,24138,13.11%,1.21%
4/2/2019 3:15,16656,13.08%,0.83%
4/2/2019 3:20,22962,13.11%,1.15%
4/2/2019 3:25,28414,13.13%,1.42%
4/2/2019 3:30,30845,13.14%,1.54%
4/2/2019 3:35,30731,13.14%,1.54%
4/2/2019 3:40,28685,13.13%,1.43%
4/2/2019 3:45,36626,13.17%,1.83%
4/2/2019 3:50,33871,13.16%,1.69%
4/2/2019 3:55,32854,13.15%,1.64%
4/2/2019 4:00,33958,13.16%,1.70%
4/2/2019 4:05,29769,13.14%,1.49%
4/2/2019 4:10,42058,13.20%,2.10%
4/2/2019 4:15,29574,13.14%,1.48%
4/2/2019 4:20,35038,13.16%,1.75%
4/2/2019 4:25,38701,13.18%,1.94%
4/2/2019 4:30,42150,13.20%,2.11%
4/2/2019 4:35,28237,13.13%,1.41%
4/2/2019 4:40,35630,13.17%,1.78%
4/2/2019 4:45,24720,13.12%,1.24%
4/2/2019 4:50,25855,13.12%,1.29%
4/2/2019 4:55,38398,13.18%,1.92%
4/2/2019 5:00,34653,13.16%,1.73%
4/2/2019 5:05,39750,13.19%,1.99%
4/2/2019 5:10,37342,13.17%,1.87%
4/2/2019 5:15,39880,13.19%,1.99%
4/2/2019 5:20,27888,13.13%,1.39%
4/2/2019 5:25,43767,13.20%,2.19%
4/2/2019 5:30,30536,13.14%,1.53%
4/2/2019 5:35,37978,13.18%,1.90%
